name,roll_no,email,branch,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,communication_score,internship,projects,backlogs,placed
Student_281,ROLL0281,student281@college.edu,CE,6.76,77.69,84.91,68,24,66,1,0,0,1
Student_282,ROLL0282,student282@college.edu,EEE,7.58,91.37,72.26,86,60,58,0,2,3,0
Student_283,ROLL0283,student283@college.edu,EEE,7.96,76.5,94.81,63,78,96,1,1,0,1
Student_284,ROLL0284,student284@college.edu,ME,6.28,69.85,71.27,70,73,44,2,1,4,0
Student_285,ROLL0285,student285@college.edu,CSE,8.07,76.47,63.5,42,93,76,1,2,4,1
Student_286,ROLL0286,student286@college.edu,CSE,8.56,81.52,53.84,99,41,75,1,0,0,1
Student_287,ROLL0287,student287@college.edu,ME,7.61,75.59,50.36,35,84,81,2,0,0,1
Student_288,ROLL0288,student288@college.edu,ME,9.08,75.49,52.99,81,83,48,0,4,0,1
Student_289,ROLL0289,student289@college.edu,ME,6.43,66.58,75.21,32,90,50,1,5,4,0
Student_290,ROLL0290,student290@college.edu,CE,5.96,67.05,78.1,92,23,93,2,3,1,1
Student_291,ROLL0291,student291@college.edu,IT,5.42,58.17,53.03,78,84,66,2,5,0,1
Student_292,ROLL0292,student292@college.edu,CSE,8.7,95.99,82.74,76,34,56,1,1,3,1
Student_293,ROLL0293,student293@college.edu,CE,7.85,60.07,66.2,84,95,84,0,1,4,1
Student_294,ROLL0294,student294@college.edu,ME,7.14,66.69,73.76,93,41,58,1,1,2,1
Student_295,ROLL0295,student295@college.edu,CSE,7.48,66.38,91.35,94,66,49,0,5,2,1
Student_296,ROLL0296,student296@college.edu,CE,6.07,85.74,82.76,96,65,54,0,3,3,1
Student_297,ROLL0297,student297@college.edu,IT,9.65,71.46,68.78,44,33,99,0,4,1,1
Student_298,ROLL0298,student298@college.edu,CE,7.33,89.97,61.31,61,69,92,0,5,0,1
Student_299,ROLL0299,student299@college.edu,IT,7.31,66.92,46.18,97,39,65,1,3,4,1
Student_300,ROLL0300,student300@college.edu,ME,7.93,78.35,63.37,47,69,31,2,0,0,1
Student_301,ROLL0301,student301@college.edu,IT,7.68,64.98,69.47,72,52,51,2,0,4,1
Student_302,ROLL0302,student302@college.edu,CSE,7.42,99.0,60.15,64,78,45,2,1,2,0
Student_303,ROLL0303,student303@college.edu,ME,6.41,60.75,70.42,87,62,47,2,2,0,1
Student_304,ROLL0304,student304@college.edu,CSE,7.67,78.72,72.92,62,98,98,2,1,3,1
Student_305,ROLL0305,student305@college.edu,EEE,9.08,82.61,69.3,43,31,83,2,2,1,1
Student_306,ROLL0306,student306@college.edu,ECE,8.55,79.97,64.2,63,59,59,1,3,3,1
Student_307,ROLL0307,student307@college.edu,IT,8.79,72.78,74.02,90,39,74,0,0,1,1
Student_308,ROLL0308,student308@college.edu,ECE,6.69,73.44,77.3,33,57,48,2,5,0,1
Student_309,ROLL0309,student309@college.edu,ECE,6.21,75.53,58.92,88,22,63,1,2,0,1
Student_310,ROLL0310,student310@college.edu,IT,7.07,73.24,88.93,58,47,42,2,3,1,1
Student_311,ROLL0311,student311@college.edu,ME,7.26,86.57,70.82,35,75,72,2,0,2,1
Student_312,ROLL0312,student312@college.edu,EEE,8.29,99.0,72.23,78,32,91,0,5,4,1
Student_313,ROLL0313,student313@college.edu,CSE,5.51,68.31,80.5,69,96,51,0,2,3,0
Student_314,ROLL0314,student314@college.edu,CE,8.73,58.56,74.8,94,85,81,0,1,3,1
Student_315,ROLL0315,student315@college.edu,CSE,7.04,73.94,83.44,98,56,81,2,1,3,1
Student_316,ROLL0316,student316@college.edu,CE,6.77,99.0,75.45,56,68,65,2,1,0,1
Student_317,ROLL0317,student317@college.edu,CSE,6.19,65.36,64.65,35,85,48,2,3,3,0
Student_318,ROLL0318,student318@college.edu,IT,5.55,94.67,76.34,42,55,67,0,1,4,0
Student_319,ROLL0319,student319@college.edu,EEE,8.02,95.13,58.28,93,73,99,1,4,4,1
Student_320,ROLL0320,student320@college.edu,CE,7.27,68.36,73.3,91,45,86,2,0,1,1
Student_321,ROLL0321,student321@college.edu,ME,5.91,81.83,71.6,48,94,49,2,3,0,1
Student_322,ROLL0322,student322@college.edu,CSE,5.9,94.54,69.5,72,91,38,2,5,4,0
Student_323,ROLL0323,student323@college.edu,CSE,6.86,70.45,70.46,49,59,61,1,1,2,0
Student_324,ROLL0324,student324@college.edu,CE,8.87,72.56,49.42,97,62,33,2,0,0,1
Student_325,ROLL0325,student325@college.edu,ME,6.94,68.02,65.42,73,41,79,1,2,0,1
Student_326,ROLL0326,student326@college.edu,ME,5.7,62.82,73.11,52,39,34,2,1,4,0
Student_327,ROLL0327,student327@college.edu,IT,6.95,67.21,73.92,31,27,49,1,0,2,0
Student_328,ROLL0328,student328@college.edu,IT,6.93,60.31,59.67,51,48,66,2,4,1,1
Student_329,ROLL0329,student329@college.edu,IT,4.5,75.41,87.19,86,59,51,0,2,4,0
Student_330,ROLL0330,student330@college.edu,IT,7.15,65.76,61.61,36,49,87,0,4,2,1
Student_331,ROLL0331,student331@college.edu,IT,6.97,77.81,83.63,85,74,97,0,5,0,1
Student_332,ROLL0332,student332@college.edu,IT,7.9,56.33,77.13,96,35,73,0,0,2,1
Student_333,ROLL0333,student333@college.edu,EEE,9.05,78.97,64.25,45,65,63,2,4,0,1
Student_334,ROLL0334,student334@college.edu,ME,8.33,85.0,93.3,80,81,71,0,5,4,1
Student_335,ROLL0335,student335@college.edu,IT,6.93,51.08,57.68,41,26,38,1,0,4,0
Student_336,ROLL0336,student336@college.edu,ME,6.09,79.49,83.03,82,99,36,0,0,3,1
Student_337,ROLL0337,student337@college.edu,ME,9.77,89.73,84.01,34,64,97,0,4,3,1
Student_338,ROLL0338,student338@college.edu,ECE,7.26,60.48,63.95,56,78,48,0,0,3,1
Student_339,ROLL0339,student339@college.edu,EEE,7.21,95.07,88.71,41,75,60,2,1,4,1
Student_340,ROLL0340,student340@college.edu,IT,7.18,80.03,69.0,46,67,64,0,0,1,1
Student_341,ROLL0341,student341@college.edu,CSE,7.4,66.54,75.46,35,46,86,1,3,4,1
Student_342,ROLL0342,student342@college.edu,CE,7.06,74.33,75.12,34,72,90,0,5,2,1
Student_343,ROLL0343,student343@college.edu,CSE,6.63,81.7,70.39,86,92,60,0,0,4,0
Student_344,ROLL0344,student344@college.edu,EEE,6.65,75.91,81.73,57,54,82,0,3,4,0
Student_345,ROLL0345,student345@college.edu,CE,7.17,81.47,81.52,98,70,61,1,0,0,1
Student_346,ROLL0346,student346@college.edu,EEE,6.66,63.95,51.02,88,56,95,0,0,0,1
Student_347,ROLL0347,student347@college.edu,ME,6.49,77.03,87.65,62,76,88,1,4,0,1
Student_348,ROLL0348,student348@college.edu,CE,7.31,58.04,52.05,91,27,39,1,1,4,0
Student_349,ROLL0349,student349@college.edu,ME,6.95,73.67,84.39,79,98,31,0,5,1,1
Student_350,ROLL0350,student350@college.edu,CSE,8.7,64.15,85.52,48,39,95,1,1,2,1
Student_351,ROLL0351,student351@college.edu,CSE,4.55,66.17,58.91,98,72,89,2,2,2,1
Student_352,ROLL0352,student352@college.edu,CE,8.29,89.83,67.07,95,31,46,0,4,1,1
Student_353,ROLL0353,student353@college.edu,CE,8.45,88.1,58.73,76,68,45,0,4,1,1
Student_354,ROLL0354,student354@college.edu,IT,5.13,82.31,69.42,68,36,45,1,1,2,1
Student_355,ROLL0355,student355@college.edu,EEE,6.86,61.89,68.3,97,83,75,1,4,3,1
Student_356,ROLL0356,student356@college.edu,IT,6.83,71.2,81.36,62,61,68,0,1,0,1
Student_357,ROLL0357,student357@college.edu,EEE,5.79,89.56,87.72,42,48,60,2,4,0,1
Student_358,ROLL0358,student358@college.edu,IT,6.42,76.7,88.75,83,38,30,1,0,2,1
Student_359,ROLL0359,student359@college.edu,ME,6.09,99.0,65.25,36,30,40,1,1,1,0
Student_360,ROLL0360,student360@college.edu,CE,8.95,79.72,69.49,43,69,33,2,1,3,1
Student_361,ROLL0361,student361@college.edu,CSE,8.14,77.3,51.8,48,90,55,2,3,2,1
Student_362,ROLL0362,student362@college.edu,EEE,8.47,71.29,62.33,83,77,79,0,4,0,1
Student_363,ROLL0363,student363@college.edu,EEE,7.92,76.6,83.58,49,53,41,2,4,4,1
Student_364,ROLL0364,student364@college.edu,CSE,6.07,73.17,91.39,58,39,94,0,1,1,1
Student_365,ROLL0365,student365@college.edu,IT,6.68,83.5,57.19,53,69,76,2,0,4,0
Student_366,ROLL0366,student366@college.edu,EEE,7.69,86.48,64.89,92,29,82,1,0,2,1
Student_367,ROLL0367,student367@college.edu,ME,5.98,65.57,71.68,86,51,31,0,5,0,1
Student_368,ROLL0368,student368@college.edu,CE,7.91,59.03,75.36,37,71,53,0,0,3,0
Student_369,ROLL0369,student369@college.edu,CSE,6.96,52.97,62.28,91,34,33,0,4,4,0
Student_370,ROLL0370,student370@college.edu,CE,6.83,81.1,77.09,58,22,48,2,3,3,0
Student_371,ROLL0371,student371@college.edu,EEE,7.91,61.76,66.31,46,56,55,1,1,0,1
Student_372,ROLL0372,student372@college.edu,EEE,7.64,49.17,71.83,95,59,69,0,2,4,0
Student_373,ROLL0373,student373@college.edu,CSE,6.84,79.66,78.56,35,91,79,0,3,3,0
Student_374,ROLL0374,student374@college.edu,ME,8.36,99.0,72.08,87,59,72,0,2,3,1
Student_375,ROLL0375,student375@college.edu,ECE,6.12,74.93,66.76,98,75,96,0,3,4,0
Student_376,ROLL0376,student376@college.edu,CSE,7.82,85.06,70.68,57,42,41,1,0,0,1
Student_377,ROLL0377,student377@college.edu,ECE,7.79,75.98,70.94,91,30,96,2,4,3,1
Student_378,ROLL0378,student378@college.edu,IT,6.89,73.81,67.56,70,83,56,1,2,2,1
Student_379,ROLL0379,student379@college.edu,ECE,7.53,86.03,68.89,98,27,83,0,3,4,1
Student_380,ROLL0380,student380@college.edu,ME,5.95,71.52,91.18,70,75,95,1,4,1,1
Student_381,ROLL0381,student381@college.edu,IT,8.12,78.21,78.73,78,79,78,0,2,1,1
Student_382,ROLL0382,student382@college.edu,ECE,7.02,78.86,68.45,78,29,45,2,1,0,1
Student_383,ROLL0383,student383@college.edu,IT,6.68,66.98,80.36,32,58,31,2,3,2,1
Student_384,ROLL0384,student384@college.edu,ECE,8.25,86.9,67.99,39,47,89,2,1,3,1
Student_385,ROLL0385,student385@college.edu,ME,6.5,72.9,86.08,64,68,83,0,0,1,1
Student_386,ROLL0386,student386@college.edu,ECE,5.79,65.93,76.44,31,55,59,1,1,0,0
Student_387,ROLL0387,student387@college.edu,ECE,5.64,81.44,70.71,53,32,67,2,1,2,0
Student_388,ROLL0388,student388@college.edu,ECE,7.81,64.22,77.37,67,55,57,0,5,2,1
Student_389,ROLL0389,student389@college.edu,CSE,5.92,75.34,53.15,51,45,54,0,3,0,1
Student_390,ROLL0390,student390@college.edu,CSE,8.95,74.89,58.48,55,23,39,1,0,0,1
Student_391,ROLL0391,student391@college.edu,CSE,5.12,88.03,57.67,72,83,89,2,1,3,1
Student_392,ROLL0392,student392@college.edu,ME,8.9,80.7,73.72,84,57,71,0,4,0,1
Student_393,ROLL0393,student393@college.edu,IT,7.41,74.7,92.79,68,41,69,1,2,3,1
Student_394,ROLL0394,student394@college.edu,EEE,7.1,84.81,98.78,58,21,71,2,1,3,1
Student_395,ROLL0395,student395@college.edu,ECE,6.66,91.68,79.66,49,50,76,1,0,4,0
Student_396,ROLL0396,student396@college.edu,ECE,7.6,81.69,78.01,70,30,66,1,1,2,0
Student_397,ROLL0397,student397@college.edu,ME,7.16,75.12,50.39,83,65,51,0,2,2,1
Student_398,ROLL0398,student398@college.edu,ECE,8.3,59.26,65.49,49,81,86,0,0,2,1
Student_399,ROLL0399,student399@college.edu,CSE,7.31,62.22,62.55,48,88,56,0,3,4,0
Student_400,ROLL0400,student400@college.edu,EEE,7.35,71.34,64.55,95,83,70,1,0,3,1
Student_401,ROLL0401,student401@college.edu,CE,6.84,67.69,69.98,59,29,63,0,3,3,0
Student_402,ROLL0402,student402@college.edu,ECE,7.14,72.76,66.33,82,59,61,1,0,0,1
Student_403,ROLL0403,student403@college.edu,CSE,7.51,75.68,48.25,63,43,95,1,2,4,0
Student_404,ROLL0404,student404@college.edu,CE,5.49,81.36,80.97,51,63,41,0,2,0,0
Student_405,ROLL0405,student405@college.edu,EEE,5.85,74.15,59.13,96,79,69,2,0,4,0
Student_406,ROLL0406,student406@college.edu,CE,7.94,80.84,74.87,35,81,39,2,1,0,1
Student_407,ROLL0407,student407@college.edu,CSE,7.37,75.77,96.89,56,36,77,2,2,1,1
Student_408,ROLL0408,student408@college.edu,IT,7.02,51.29,60.97,39,84,49,1,3,2,0
Student_409,ROLL0409,student409@college.edu,IT,7.22,63.73,41.64,77,76,68,1,3,2,0
Student_410,ROLL0410,student410@college.edu,CE,7.55,73.27,68.57,99,74,89,1,4,3,1
Student_411,ROLL0411,student411@college.edu,ME,6.66,60.48,85.21,88,72,95,0,5,1,1
Student_412,ROLL0412,student412@college.edu,CE,6.42,82.2,95.5,88,75,94,1,5,2,1
Student_413,ROLL0413,student413@college.edu,ECE,7.4,93.37,57.25,31,28,80,0,5,3,0
Student_414,ROLL0414,student414@college.edu,ECE,6.22,89.63,77.96,58,41,65,0,3,1,1
Student_415,ROLL0415,student415@college.edu,IT,7.61,72.44,66.42,97,32,53,2,4,2,1
Student_416,ROLL0416,student416@college.edu,ME,5.5,92.89,70.73,94,67,56,2,5,0,1
Student_417,ROLL0417,student417@college.edu,CSE,8.23,76.78,99.0,55,37,31,2,5,4,0
Student_418,ROLL0418,student418@college.edu,ECE,7.67,70.95,53.96,39,95,60,0,0,1,1
Student_419,ROLL0419,student419@college.edu,IT,7.46,67.64,75.04,82,59,86,0,0,3,1
Student_420,ROLL0420,student420@college.edu,EEE,8.18,71.37,77.61,88,36,95,0,0,1,1
Student_421,ROLL0421,student421@college.edu,IT,8.87,70.34,85.03,51,34,58,1,1,3,1
Student_422,ROLL0422,student422@college.edu,ECE,8.21,77.04,73.18,80,34,44,0,5,1,1
Student_423,ROLL0423,student423@college.edu,ECE,5.36,76.93,75.7,77,98,41,2,1,3,0
Student_424,ROLL0424,student424@college.edu,IT,5.92,75.04,67.3,50,82,57,2,4,2,1
Student_425,ROLL0425,student425@college.edu,CSE,6.58,80.24,75.23,51,58,53,0,3,0,0
Student_426,ROLL0426,student426@college.edu,CE,7.23,89.29,67.88,59,32,50,0,5,2,0
Student_427,ROLL0427,student427@college.edu,ECE,7.72,86.39,79.46,54,51,39,2,3,0,1
Student_428,ROLL0428,student428@college.edu,IT,6.47,57.18,67.56,57,28,47,0,0,2,0
Student_429,ROLL0429,student429@college.edu,IT,7.39,44.35,76.53,94,59,43,2,5,2,1
Student_430,ROLL0430,student430@college.edu,ME,6.44,86.21,71.65,74,39,63,1,2,1,1
Student_431,ROLL0431,student431@college.edu,CE,6.59,58.6,85.51,97,96,87,2,1,4,1
Student_432,ROLL0432,student432@college.edu,EEE,5.79,72.3,71.38,36,99,51,1,1,3,0
Student_433,ROLL0433,student433@college.edu,CSE,6.28,60.96,50.72,78,92,99,0,5,3,1
Student_434,ROLL0434,student434@college.edu,EEE,5.85,53.38,87.14,38,82,65,0,0,3,0
Student_435,ROLL0435,student435@college.edu,CE,6.22,81.5,61.13,65,95,74,1,1,0,1
Student_436,ROLL0436,student436@college.edu,CE,8.25,84.11,64.15,30,63,65,0,0,3,0
Student_437,ROLL0437,student437@college.edu,CE,6.25,68.08,64.85,39,57,51,1,4,3,0
Student_438,ROLL0438,student438@college.edu,EEE,9.83,43.91,88.49,65,79,90,0,3,1,1
Student_439,ROLL0439,student439@college.edu,CE,7.69,68.45,46.37,75,90,85,2,2,2,1
Student_440,ROLL0440,student440@college.edu,IT,7.38,79.7,99.0,61,67,62,0,3,3,1
Student_441,ROLL0441,student441@college.edu,EEE,6.34,57.25,84.67,61,37,74,2,3,4,0
Student_442,ROLL0442,student442@college.edu,CE,7.9,77.2,74.68,35,35,65,2,4,3,0
Student_443,ROLL0443,student443@college.edu,IT,6.62,74.82,71.34,77,74,49,1,1,0,1
Student_444,ROLL0444,student444@college.edu,ME,7.32,81.95,75.43,67,58,47,0,2,0,1
Student_445,ROLL0445,student445@college.edu,CE,9.76,76.43,78.25,46,87,67,1,1,0,1
Student_446,ROLL0446,student446@college.edu,EEE,7.1,63.32,79.74,56,78,96,0,5,3,1
Student_447,ROLL0447,student447@college.edu,ECE,8.35,89.36,78.67,83,81,52,2,3,1,1
Student_448,ROLL0448,student448@college.edu,CE,6.5,73.1,73.07,79,32,45,2,5,4,0
Student_449,ROLL0449,student449@college.edu,ECE,7.17,74.67,69.63,64,25,88,0,0,3,0
Student_450,ROLL0450,student450@college.edu,IT,8.97,63.8,70.18,54,96,98,0,3,1,1
Student_451,ROLL0451,student451@college.edu,ME,6.57,69.68,69.66,57,79,97,1,1,1,1
Student_452,ROLL0452,student452@college.edu,CSE,9.01,64.38,85.61,44,33,50,0,3,3,1
Student_453,ROLL0453,student453@college.edu,ME,7.91,72.92,79.12,33,73,99,0,0,3,1
Student_454,ROLL0454,student454@college.edu,CE,6.64,95.54,40.0,56,23,41,0,4,1,0
Student_455,ROLL0455,student455@college.edu,ECE,7.83,58.54,79.87,55,58,45,1,5,1,1
Student_456,ROLL0456,student456@college.edu,ECE,8.17,55.64,74.34,48,91,43,0,5,1,1
Student_457,ROLL0457,student457@college.edu,EEE,7.82,92.65,71.78,46,44,90,2,1,3,0
Student_458,ROLL0458,student458@college.edu,ECE,5.63,72.49,67.34,72,96,75,1,3,1,1
Student_459,ROLL0459,student459@college.edu,EEE,6.47,66.97,85.49,70,51,61,1,1,0,1
Student_460,ROLL0460,student460@college.edu,IT,6.95,87.48,83.37,71,78,44,2,4,3,1
Student_461,ROLL0461,student461@college.edu,CSE,7.13,67.73,62.73,79,82,73,2,3,0,1
Student_462,ROLL0462,student462@college.edu,CE,7.82,96.91,76.88,69,57,46,2,3,2,1
Student_463,ROLL0463,student463@college.edu,EEE,7.38,83.14,60.34,68,72,70,0,1,3,1
Student_464,ROLL0464,student464@college.edu,CSE,5.86,69.15,55.44,52,86,83,2,1,2,1
Student_465,ROLL0465,student465@college.edu,ECE,7.58,99.0,64.48,81,47,73,0,0,1,1
Student_466,ROLL0466,student466@college.edu,ECE,7.81,67.73,82.35,76,22,34,1,4,1,1
Student_467,ROLL0467,student467@college.edu,CSE,7.76,83.91,83.44,92,99,56,1,0,4,1
Student_468,ROLL0468,student468@college.edu,ECE,8.28,78.59,78.16,98,41,72,2,5,1,1
Student_469,ROLL0469,student469@college.edu,IT,8.03,90.62,80.7,72,57,60,0,3,2,1
Student_470,ROLL0470,student470@college.edu,IT,7.66,93.74,78.19,77,91,46,2,1,1,1
Student_471,ROLL0471,student471@college.edu,CSE,7.13,75.38,64.3,63,91,83,2,3,3,1
Student_472,ROLL0472,student472@college.edu,EEE,5.54,65.96,77.18,69,81,91,0,3,1,0
Student_473,ROLL0473,student473@college.edu,EEE,7.63,80.52,81.6,90,76,61,2,2,4,1
Student_474,ROLL0474,student474@college.edu,CSE,7.41,66.87,81.05,79,25,69,1,5,1,1
Student_475,ROLL0475,student475@college.edu,EEE,7.47,99.0,86.27,96,97,42,2,2,2,1
Student_476,ROLL0476,student476@college.edu,EEE,5.92,76.64,80.5,91,51,64,0,3,2,1
Student_477,ROLL0477,student477@college.edu,IT,6.12,70.62,76.22,87,29,34,0,1,1,0
Student_478,ROLL0478,student478@college.edu,EEE,8.25,77.22,84.84,62,22,58,1,3,2,1
Student_479,ROLL0479,student479@college.edu,ME,7.16,58.83,71.68,45,78,99,0,5,2,1
Student_480,ROLL0480,student480@college.edu,CE,7.88,63.34,61.42,77,95,54,0,2,4,1
Student_481,ROLL0481,student481@college.edu,ECE,7.23,89.4,70.04,39,68,51,1,1,3,0
Student_482,ROLL0482,student482@college.edu,ME,7.23,67.12,63.06,67,78,95,2,3,4,0
Student_483,ROLL0483,student483@college.edu,EEE,8.14,62.44,63.9,48,50,74,1,4,0,1
Student_484,ROLL0484,student484@college.edu,IT,6.68,81.44,70.27,65,88,98,2,5,4,1
Student_485,ROLL0485,student485@college.edu,CSE,7.3,89.23,62.49,88,81,30,1,5,1,1
Student_486,ROLL0486,student486@college.edu,EEE,6.74,83.63,68.3,92,71,73,2,4,3,1
Student_487,ROLL0487,student487@college.edu,IT,6.77,86.95,49.28,75,60,68,1,3,1,1
Student_488,ROLL0488,student488@college.edu,CE,6.89,65.92,74.56,32,50,83,2,5,0,1
Student_489,ROLL0489,student489@college.edu,EEE,7.42,57.94,72.01,94,41,58,1,1,3,0
Student_490,ROLL0490,student490@college.edu,CSE,6.72,93.02,62.19,37,23,83,2,3,2,1
Student_491,ROLL0491,student491@college.edu,IT,8.46,71.13,79.91,80,32,45,1,3,4,1
Student_492,ROLL0492,student492@college.edu,IT,6.31,71.99,83.25,35,64,49,0,2,1,0
Student_493,ROLL0493,student493@college.edu,IT,7.01,90.94,52.71,68,61,75,2,5,0,1
Student_494,ROLL0494,student494@college.edu,CE,6.76,81.67,62.85,89,68,96,1,5,2,1
Student_495,ROLL0495,student495@college.edu,EEE,8.65,80.47,62.77,57,39,94,2,4,4,1
Student_496,ROLL0496,student496@college.edu,CE,7.4,99.0,60.72,83,96,87,2,2,2,1
Student_497,ROLL0497,student497@college.edu,ECE,8.23,67.28,81.95,66,73,82,1,2,4,0
Student_498,ROLL0498,student498@college.edu,ECE,5.71,86.13,69.67,38,55,30,2,5,3,0
Student_499,ROLL0499,student499@college.edu,EEE,7.47,75.68,68.83,85,20,95,1,3,2,1
Student_500,ROLL0500,student500@college.edu,CE,8.09,78.22,47.95,88,34,58,0,2,2,1
Student_501,ROLL0501,student501@college.edu,CSE,7.28,93.34,79.63,31,96,99,2,4,2,1
Student_502,ROLL0502,student502@college.edu,IT,8.27,81.09,57.13,90,36,37,0,2,3,1
Student_503,ROLL0503,student503@college.edu,IT,6.68,81.46,72.72,87,43,58,2,4,0,1
Student_504,ROLL0504,student504@college.edu,EEE,8.61,87.87,75.33,89,77,80,2,2,4,1
Student_505,ROLL0505,student505@college.edu,ECE,9.5,70.62,88.33,69,91,62,2,4,2,1
Student_506,ROLL0506,student506@college.edu,ECE,6.84,64.93,56.29,65,42,32,1,2,3,0
Student_507,ROLL0507,student507@college.edu,IT,6.75,62.46,40.0,66,65,89,0,2,0,1
Student_508,ROLL0508,student508@college.edu,EEE,8.65,51.4,74.21,47,91,64,2,1,4,0
Student_509,ROLL0509,student509@college.edu,CE,8.78,99.0,93.61,92,27,98,1,4,3,1
Student_510,ROLL0510,student510@college.edu,ECE,6.68,61.76,86.87,51,78,49,2,4,4,0
Student_511,ROLL0511,student511@college.edu,CE,6.78,72.34,74.52,40,78,68,1,4,2,1
Student_512,ROLL0512,student512@college.edu,ECE,6.92,71.68,66.1,87,32,33,2,0,0,1
Student_513,ROLL0513,student513@college.edu,ECE,5.86,78.69,81.69,86,58,48,0,2,3,0
Student_514,ROLL0514,student514@college.edu,ME,6.28,84.79,60.32,33,47,74,0,4,0,0
Student_515,ROLL0515,student515@college.edu,ECE,6.2,85.33,77.72,36,80,72,2,5,2,1
Student_516,ROLL0516,student516@college.edu,CSE,6.43,68.0,78.07,90,35,42,1,0,0,1
Student_517,ROLL0517,student517@college.edu,EEE,7.17,72.99,84.72,83,21,42,2,1,0,1
Student_518,ROLL0518,student518@college.edu,EEE,7.43,78.39,99.0,97,36,89,1,4,1,1
Student_519,ROLL0519,student519@college.edu,CE,8.75,72.02,76.71,30,49,86,2,4,0,1
Student_520,ROLL0520,student520@college.edu,ECE,6.2,94.29,65.89,84,32,81,1,0,4,0
Student_521,ROLL0521,student521@college.edu,CSE,8.18,80.89,71.69,32,32,82,0,2,3,0
Student_522,ROLL0522,student522@college.edu,CE,6.99,83.82,50.77,67,62,72,2,5,1,1
Student_523,ROLL0523,student523@college.edu,ME,7.15,82.95,63.66,30,40,71,0,1,3,0
Student_524,ROLL0524,student524@college.edu,CE,7.87,89.08,67.09,67,74,55,0,4,3,1
Student_525,ROLL0525,student525@college.edu,CE,6.08,77.17,65.71,58,59,52,2,2,2,0
Student_526,ROLL0526,student526@college.edu,ECE,7.58,59.44,73.83,34,34,72,2,5,2,1
Student_527,ROLL0527,student527@college.edu,ME,7.37,79.8,62.13,50,92,57,1,5,1,1
Student_528,ROLL0528,student528@college.edu,CE,7.69,67.18,85.45,96,71,38,1,1,2,1
Student_529,ROLL0529,student529@college.edu,CSE,7.49,68.66,72.0,76,93,49,0,3,2,1
Student_530,ROLL0530,student530@college.edu,CSE,9.66,82.04,71.89,64,72,85,1,5,2,1
Student_531,ROLL0531,student531@college.edu,EEE,6.56,89.86,68.07,97,71,68,1,3,3,1
Student_532,ROLL0532,student532@college.edu,ME,6.67,75.26,73.86,98,49,80,2,5,1,1
Student_533,ROLL0533,student533@college.edu,ME,6.58,78.71,81.9,30,52,41,1,1,3,0
Student_534,ROLL0534,student534@college.edu,EEE,6.64,95.43,61.59,97,76,84,0,0,4,0
Student_535,ROLL0535,student535@college.edu,CE,6.56,77.89,64.1,41,71,40,1,1,3,0
Student_536,ROLL0536,student536@college.edu,ME,8.39,99.0,68.36,89,28,55,0,1,4,0
Student_537,ROLL0537,student537@college.edu,CSE,8.62,81.79,55.85,56,73,71,2,0,0,1
Student_538,ROLL0538,student538@college.edu,CSE,6.63,53.87,62.17,85,20,56,0,0,0,0
Student_539,ROLL0539,student539@college.edu,ECE,6.37,84.04,66.29,52,63,40,1,2,4,0
Student_540,ROLL0540,student540@college.edu,ME,7.67,79.57,82.49,54,94,67,2,5,4,1
Student_541,ROLL0541,student541@college.edu,CE,6.65,90.48,75.15,50,99,72,1,2,3,0
Student_542,ROLL0542,student542@college.edu,EEE,7.83,83.08,74.32,90,28,48,2,0,4,0
Student_543,ROLL0543,student543@college.edu,EEE,7.4,73.34,82.21,92,51,93,2,3,1,1
Student_544,ROLL0544,student544@college.edu,CE,5.68,60.31,70.35,81,34,35,1,3,0,0
Student_545,ROLL0545,student545@college.edu,IT,8.75,72.49,76.69,54,31,75,1,1,0,1
Student_546,ROLL0546,student546@college.edu,ECE,9.0,64.79,70.76,84,97,71,2,4,4,1
Student_547,ROLL0547,student547@college.edu,EEE,6.59,68.03,75.18,75,76,94,2,1,2,1
Student_548,ROLL0548,student548@college.edu,ME,6.81,82.06,65.01,61,27,88,1,1,2,0
Student_549,ROLL0549,student549@college.edu,ECE,7.49,95.04,42.73,84,91,81,0,4,4,1
Student_550,ROLL0550,student550@college.edu,ME,7.53,79.74,70.39,34,46,76,1,5,1,1
Student_551,ROLL0551,student551@college.edu,CSE,7.86,60.65,89.07,65,81,36,2,0,2,1
Student_552,ROLL0552,student552@college.edu,ECE,9.21,80.34,83.11,78,31,40,1,3,4,0
Student_553,ROLL0553,student553@college.edu,EEE,7.02,89.36,83.58,87,84,90,0,1,1,1
Student_554,ROLL0554,student554@college.edu,ECE,6.4,67.68,86.83,68,61,97,1,4,1,1
Student_555,ROLL0555,student555@college.edu,ECE,5.82,73.39,73.06,90,81,54,2,2,3,1
Student_556,ROLL0556,student556@college.edu,ECE,6.47,75.18,74.37,38,30,41,1,1,1,0
Student_557,ROLL0557,student557@college.edu,IT,7.17,65.58,64.59,35,62,55,2,3,2,1
Student_558,ROLL0558,student558@college.edu,ECE,8.99,82.78,68.21,64,36,41,2,0,2,1
Student_559,ROLL0559,student559@college.edu,ME,6.68,73.55,79.39,68,51,72,1,1,4,0
Student_560,ROLL0560,student560@college.edu,CSE,7.42,80.03,86.45,51,59,80,2,1,4,1
Student_561,ROLL0561,student561@college.edu,CE,7.18,64.35,70.33,70,42,66,2,5,1,1
